key,text
help.tutorial.section.learning_route,学习路线建议（新手15分钟闭环）
help.tutorial.section.team_knowledge_base,团队知识库
help.tutorial.step_01,步骤 01/06 - 开局配置与可复现开局。触发：进入新游戏配置。操作：选择地图、玩家数、初始资金、事件间隔、随机种子。结果：生成可复现开局与目标提示。
help.tutorial.step_02,步骤 02/06 - BeforeRoll 行动卡。触发：回合开始。操作：选择 0-1 张行动卡并确认。结果：在掷骰前完成经济或夺城效果。
help.tutorial.step_03,步骤 03/06 - 掷骰移动与事件触发。触发：掷骰后移动到地块。操作：先触发地块事件，再触发全局事件。结果：经济变化与提示链记录。
help.tutorial.step_04,步骤 04/06 - 城池/建造与倍率。触发：停在自有城池。操作：建造或升级。结果：building 事件与 AppliedMultipliers 明细可解释。
help.tutorial.step_05,步骤 05/06 - 战斗触发与回主循环。触发：地块事件触发战斗。操作：进入战斗并结束返回。结果：战斗结果写回并继续回合。
help.tutorial.step_06,步骤 06/06 - 胜负与结算。触发：满足结束条件。操作：展示结算界面。结果：game.ended 原因、赢家、统计与下一步建议。
help.tutorial.step_07,知识库 1/2 - 回合与事件。RoundNumber 驱动全局事件节奏；事件顺序：Tile -> Global。
help.tutorial.step_08,知识库 2/2 - 口径与回退。UI 只消费 Contracts/事件解释链；缺失键使用原始文本回退。
